Deleted hdfs://10.0.3.87:54310/HiBench/Wordcount/Output-comp
Warning: $HADOOP_HOME is deprecated.

Warning: $HADOOP_HOME is deprecated.

14/11/18 18:18:11 INFO input.FileInputFormat: Total input paths to process : 32
14/11/18 18:18:11 INFO mapred.JobClient: Running job: job_201411021335_0015
14/11/18 18:18:12 INFO mapred.JobClient:  map 0% reduce 0%
14/11/18 18:18:51 INFO mapred.JobClient:  map 1% reduce 0%
14/11/18 18:19:21 INFO mapred.JobClient:  map 2% reduce 0%
14/11/18 18:19:42 INFO mapred.JobClient:  map 3% reduce 0%
14/11/18 18:20:09 INFO mapred.JobClient:  map 4% reduce 0%
14/11/18 18:20:39 INFO mapred.JobClient:  map 5% reduce 0%
14/11/18 18:21:00 INFO mapred.JobClient:  map 6% reduce 0%
14/11/18 18:21:27 INFO mapred.JobClient:  map 7% reduce 0%
14/11/18 18:21:57 INFO mapred.JobClient:  map 8% reduce 0%
14/11/18 18:22:18 INFO mapred.JobClient:  map 9% reduce 0%
14/11/18 18:22:48 INFO mapred.JobClient:  map 10% reduce 0%
14/11/18 18:23:16 INFO mapred.JobClient:  map 11% reduce 0%
14/11/18 18:23:40 INFO mapred.JobClient:  map 12% reduce 0%
14/11/18 18:24:09 INFO mapred.JobClient:  map 13% reduce 0%
14/11/18 18:24:33 INFO mapred.JobClient:  map 14% reduce 0%
14/11/18 18:25:00 INFO mapred.JobClient:  map 15% reduce 0%
14/11/18 18:25:27 INFO mapred.JobClient:  map 16% reduce 0%
14/11/18 18:25:51 INFO mapred.JobClient:  map 17% reduce 0%
14/11/18 18:26:18 INFO mapred.JobClient:  map 18% reduce 0%
14/11/18 18:26:45 INFO mapred.JobClient:  map 19% reduce 0%
14/11/18 18:27:09 INFO mapred.JobClient:  map 20% reduce 0%
14/11/18 18:27:36 INFO mapred.JobClient:  map 21% reduce 0%
14/11/18 18:28:00 INFO mapred.JobClient:  map 22% reduce 0%
14/11/18 18:28:27 INFO mapred.JobClient:  map 23% reduce 0%
14/11/18 18:28:54 INFO mapred.JobClient:  map 24% reduce 0%
14/11/18 18:29:18 INFO mapred.JobClient:  map 25% reduce 0%
14/11/18 18:29:45 INFO mapred.JobClient:  map 26% reduce 0%
14/11/18 18:30:12 INFO mapred.JobClient:  map 27% reduce 0%
14/11/18 18:30:39 INFO mapred.JobClient:  map 28% reduce 0%
14/11/18 18:31:03 INFO mapred.JobClient:  map 29% reduce 0%
14/11/18 18:31:30 INFO mapred.JobClient:  map 30% reduce 0%
14/11/18 18:31:57 INFO mapred.JobClient:  map 31% reduce 0%
14/11/18 18:32:24 INFO mapred.JobClient:  map 32% reduce 0%
14/11/18 18:32:51 INFO mapred.JobClient:  map 33% reduce 0%
14/11/18 18:33:15 INFO mapred.JobClient:  map 34% reduce 0%
14/11/18 18:33:42 INFO mapred.JobClient:  map 35% reduce 0%
14/11/18 18:34:09 INFO mapred.JobClient:  map 36% reduce 0%
14/11/18 18:34:33 INFO mapred.JobClient:  map 37% reduce 1%
14/11/18 18:35:01 INFO mapred.JobClient:  map 38% reduce 1%
14/11/18 18:35:25 INFO mapred.JobClient:  map 39% reduce 1%
14/11/18 18:35:55 INFO mapred.JobClient:  map 40% reduce 1%
14/11/18 18:36:19 INFO mapred.JobClient:  map 41% reduce 1%
14/11/18 18:36:43 INFO mapred.JobClient:  map 42% reduce 1%
14/11/18 18:37:13 INFO mapred.JobClient:  map 43% reduce 1%
14/11/18 18:37:37 INFO mapred.JobClient:  map 44% reduce 1%
14/11/18 18:38:01 INFO mapred.JobClient:  map 45% reduce 1%
14/11/18 18:38:25 INFO mapred.JobClient:  map 46% reduce 1%
14/11/18 18:38:46 INFO mapred.JobClient:  map 47% reduce 1%
14/11/18 18:39:10 INFO mapred.JobClient:  map 48% reduce 1%
14/11/18 18:39:37 INFO mapred.JobClient:  map 49% reduce 1%
14/11/18 18:40:01 INFO mapred.JobClient:  map 50% reduce 1%
14/11/18 18:40:28 INFO mapred.JobClient:  map 51% reduce 1%
14/11/18 18:40:58 INFO mapred.JobClient:  map 52% reduce 1%
14/11/18 18:41:22 INFO mapred.JobClient:  map 53% reduce 1%
14/11/18 18:41:49 INFO mapred.JobClient:  map 54% reduce 1%
14/11/18 18:42:18 INFO mapred.JobClient:  map 55% reduce 1%
14/11/18 18:42:39 INFO mapred.JobClient:  map 56% reduce 1%
14/11/18 18:43:06 INFO mapred.JobClient:  map 57% reduce 1%
14/11/18 18:43:33 INFO mapred.JobClient:  map 58% reduce 1%
14/11/18 18:43:57 INFO mapred.JobClient:  map 59% reduce 1%
14/11/18 18:44:24 INFO mapred.JobClient:  map 60% reduce 1%
14/11/18 18:44:48 INFO mapred.JobClient:  map 61% reduce 1%
14/11/18 18:45:15 INFO mapred.JobClient:  map 62% reduce 1%
14/11/18 18:45:42 INFO mapred.JobClient:  map 63% reduce 1%
14/11/18 18:46:06 INFO mapred.JobClient:  map 64% reduce 1%
14/11/18 18:46:31 INFO mapred.JobClient:  map 65% reduce 1%
14/11/18 18:46:58 INFO mapred.JobClient:  map 66% reduce 1%
14/11/18 18:47:25 INFO mapred.JobClient:  map 67% reduce 1%
14/11/18 18:47:52 INFO mapred.JobClient:  map 68% reduce 1%
14/11/18 18:48:16 INFO mapred.JobClient:  map 69% reduce 1%
14/11/18 18:48:43 INFO mapred.JobClient:  map 70% reduce 1%
14/11/18 18:49:10 INFO mapred.JobClient:  map 71% reduce 1%
14/11/18 18:49:34 INFO mapred.JobClient:  map 72% reduce 1%
14/11/18 18:50:01 INFO mapred.JobClient:  map 73% reduce 1%
14/11/18 18:50:04 INFO mapred.JobClient:  map 73% reduce 2%
14/11/18 18:50:25 INFO mapred.JobClient:  map 74% reduce 2%
14/11/18 18:50:52 INFO mapred.JobClient:  map 75% reduce 2%
14/11/18 18:51:19 INFO mapred.JobClient:  map 76% reduce 2%
14/11/18 18:51:46 INFO mapred.JobClient:  map 77% reduce 2%
14/11/18 18:52:13 INFO mapred.JobClient:  map 78% reduce 2%
14/11/18 18:52:37 INFO mapred.JobClient:  map 79% reduce 2%
14/11/18 18:53:04 INFO mapred.JobClient:  map 80% reduce 2%
14/11/18 18:53:28 INFO mapred.JobClient:  map 81% reduce 2%
14/11/18 18:53:55 INFO mapred.JobClient:  map 82% reduce 2%
14/11/18 18:54:22 INFO mapred.JobClient:  map 83% reduce 2%
14/11/18 18:54:46 INFO mapred.JobClient:  map 84% reduce 2%
14/11/18 18:55:13 INFO mapred.JobClient:  map 85% reduce 2%
14/11/18 18:55:43 INFO mapred.JobClient:  map 86% reduce 2%
14/11/18 18:56:07 INFO mapred.JobClient:  map 87% reduce 2%
14/11/18 18:56:28 INFO mapred.JobClient:  map 88% reduce 2%
14/11/18 18:56:49 INFO mapred.JobClient:  map 89% reduce 2%
14/11/18 18:57:01 INFO mapred.JobClient:  map 90% reduce 2%
14/11/18 18:57:22 INFO mapred.JobClient:  map 91% reduce 2%
14/11/18 18:57:43 INFO mapred.JobClient:  map 92% reduce 2%
